 Coleta de lixo - Brasil
Moradores por Município
Período:2010
"Município";"Moradores"
"210870 PIO XII";21996
"210880 PIRAPEMAS";17284
"210890 POCAO DE PEDRAS";19690
"210900 PORTO FRANCO";21410
"210905 PORTO RICO DO MARANHAO";6026
"210910 PRESIDENTE DUTRA";44591
"210920 PRESIDENTE JUSCELINO";11514
"210923 PRESIDENTE MEDICI";6360
"210927 PRESIDENTE SARNEY";17119
"210930 PRESIDENTE VARGAS";10708
"210940 PRIMEIRA CRUZ";13933
"210945 RAPOSA";26301
"210950 RIACHAO";20169
"210955 RIBAMAR FIQUENE";7287
"210960 ROSARIO";39477
"210970 SAMBAIBA";5484
"210975 SANTA FILOMENA DO MARANHAO";7051
"210980 SANTA HELENA";39013
"210990 SANTA INES";76973
"211000 SANTA LUZIA";73831
"211003 SANTA LUZIA DO PARUA";22576
"211010 SANTA QUITERIA DO MARANHAO";29151
"211020 SANTA RITA";32275
"211023 SANTANA DO MARANHAO";11604
"211027 SANTO AMARO DO MARANHAO";13788
"211030 SANTO ANTONIO DOS LOPES";14252
"211040 SAO BENEDITO DO RIO PRETO";17773
"211050 SAO BENTO";40616
"211060 SAO BERNARDO";26360
"211065 SAO DOMINGOS DO AZEITAO";6973
"211070 SAO DOMINGOS DO MARANHAO";33539
"211080 SAO FELIX DE BALSAS";4696
"211085 SAO FRANCISCO DO BREJAO";10221
"211090 SAO FRANCISCO DO MARANHAO";12134
"211100 SAO JOAO BATISTA";19892
"211102 SAO JOAO DO CARU";12244
"211105 SAO JOAO DO PARAISO";10790
"211107 SAO JOAO DO SOTER";17214
"211110 SAO JOAO DOS PATOS";24834
"211120 SAO JOSE DE RIBAMAR";162616
"211125 SAO JOSE DOS BASILIOS";7462
"211130 SAO LUIS";1005558
"211140 SAO LUIS GONZAGA DO MARANHAO";20134
"211150 SAO MATEUS DO MARANHAO";39026
"211153 SAO PEDRO DA AGUA BRANCA";12012
"211157 SAO PEDRO DOS CRENTES";4386
"211160 SAO RAIMUNDO DAS MANGABEIRAS";17413
"211163 SAO RAIMUNDO DO DOCA BEZERRA";6078
"211167 SAO ROBERTO";5946
"211170 SAO VICENTE FERRER";20796
"211172 SATUBINHA";11929
"211174 SENADOR ALEXANDRE COSTA";10240
"211176 SENADOR LA ROCQUE";17796
"211178 SERRANO DO MARANHAO";10924
"211180 SITIO NOVO";16945
"211190 SUCUPIRA DO NORTE";10434
"211195 SUCUPIRA DO RIACHAO";4606
"211200 TASSO FRAGOSO";7757
"211210 TIMBIRAS";27967
"211220 TIMON";155073
"211223 TRIZIDELA DO VALE";18907
"211227 TUFILANDIA";5594
"211230 TUNTUM";39129
"211240 TURIACU";33789
"211245 TURILANDIA";22775
"211250 TUTOIA";52600
"211260 URBANO SANTOS";24527
"211270 VARGEM GRANDE";49275
"211280 VIANA";49228
"211285 VILA NOVA DOS MARTIRIOS";11214
"211290 VITORIA DO MEARIM";31107
"211300 VITORINO FREIRE";31591
"211400 ZE DOCA";50008
"220005 ACAUA";6748
"220010 AGRICOLANDIA";5089
"220020 AGUA BRANCA";16427
"220025 ALAGOINHA DO PIAUI";7339
"220027 ALEGRETE DO PIAUI";5141
"220030 ALTO LONGA";13616
"220040 ALTOS";38717
"220045 ALVORADA DO GURGUEIA";5037
"220050 AMARANTE";17072
"220060 ANGICAL DO PIAUI";6665
"220070 ANISIO DE ABREU";9083
"220080 ANTONIO ALMEIDA";3032
"220090 AROAZES";5773
"220095 AROEIRAS DO ITAIM";2440
"220100 ARRAIAL";4688
"220105 ASSUNCAO DO PIAUI";7500
"220110 AVELINO LOPES";11052
"220115 BAIXA GRANDE DO RIBEIRO";10469
"220117 BARRA D'ALCANTARA";3844
"220120 BARRAS";44684
"220130 BARREIRAS DO PIAUI";3232
"220140 BARRO DURO";6583
"220150 BATALHA";25728
"220155 BELA VISTA DO PIAUI";3771
"220157 BELEM DO PIAUI";3284
"220160 BENEDITINOS";9888
"220170 BERTOLINIA";5294
"220173 BETANIA DO PIAUI";6009
"220177 BOA HORA";6279
"220180 BOCAINA";4356
"220190 BOM JESUS";22446
"220191 BOM PRINCIPIO DO PIAUI";5287
"220192 BONFIM DO PIAUI";5388
"220194 BOQUEIRAO DO PIAUI";6173
"220196 BRASILEIRA";7933
"220198 BREJO DO PIAUI";3847
"220200 BURITI DOS LOPES";18963
"220202 BURITI DOS MONTES";7968
"220205 CABECEIRAS DO PIAUI";9913
"220207 CAJAZEIRAS DO PIAUI";3341
"220208 CAJUEIRO DA PRAIA";7138
"220209 CALDEIRAO GRANDE DO PIAUI";5664
"220210 CAMPINAS DO PIAUI";5397
"220211 CAMPO ALEGRE DO FIDALGO";4679
"220213 CAMPO GRANDE DO PIAUI";5575
"220217 CAMPO LARGO DO PIAUI";6789
"220220 CAMPO MAIOR";45006
"220225 CANAVIEIRA";3913
"220230 CANTO DO BURITI";19935
"220240 CAPITAO DE CAMPOS";10944
"220245 CAPITAO GERVASIO OLIVEIRA";3869
"220250 CARACOL";10169
"220253 CARAUBAS DO PIAUI";5511
"220255 CARIDADE DO PIAUI";4814
"220260 CASTELO DO PIAUI";18293
"220265 CAXINGO";5032
"220270 COCAL";25952
"220271 COCAL DE TELHA";4521
"220272 COCAL DOS ALVES";5557
"220273 COIVARAS";3796
"220275 COLONIA DO GURGUEIA";5997
"220277 COLONIA DO PIAUI";7418
"220280 CONCEICAO DO CANINDE";4466
"220285 CORONEL JOSE DIAS";4533
"220290 CORRENTE";25263
"220300 CRISTALANDIA DO PIAUI";7798
"220310 CRISTINO CASTRO";9931
"220320 CURIMATA";10741
"220323 CURRAIS";4690
"220325 CURRALINHOS";4170
"220327 CURRAL NOVO DO PIAUI";4860
"220330 DEMERVAL LOBAO";13234
"220335 DIRCEU ARCOVERDE";6655
"220340 DOM EXPEDITO LOPES";6544
"220342 DOMINGOS MOURAO";4250
"220345 DOM INOCENCIO";9230
"220350 ELESBAO VELOSO";14496
"220360 ELISEU MARTINS";4646
"220370 ESPERANTINA";37624
"220375 FARTURA DO PIAUI";5057
"220380 FLORES DO PIAUI";4353
"220385 FLORESTA DO PIAUI";2474
"220390 FLORIANO";57249
"220400 FRANCINOPOLIS";5231
"220410 FRANCISCO AYRES";4472
"220415 FRANCISCO MACEDO";2852
"220420 FRANCISCO SANTOS";8557
"220430 FRONTEIRAS";11087
"220435 GEMINIANO";5446
"220440 GILBUES";10362
"220450 GUADALUPE";10198
"220455 GUARIBAS";4400
"220460 HUGO NAPOLEAO";3770
"220465 ILHA GRANDE";8905
"220470 INHUMA";14811
"220480 IPIRANGA DO PIAUI";9309
"220490 ISAIAS COELHO";8210
